participant_lab_id,lab_id,participant_id,age_cohort,participant_gender,age_years,age_years_n,age_days,age_days_num,age_mo,age_exclusion
babylabINCC_BLI_157-toddlers,babylabINCC,BLI_157-toddlers,toddlers,boy,NA,NA,563,563,18.496919917864478,no
babylabINCC_BLI_158-toddlers,babylabINCC,BLI_158-toddlers,toddlers,boy,NA,NA,557,557,18.299794661190965,no
babylabINCC_BLI_160-toddlers,babylabINCC,BLI_160-toddlers,toddlers,boy,NA,NA,676,676,22.209445585215605,no
babylabINCC_BLI_250-toddlers,babylabINCC,BLI_250-toddlers,toddlers,girl,NA,NA,654,654,21.48665297741273,no
babylabINCC_BLI_251-toddlers,babylabINCC,BLI_251-toddlers,toddlers,girl,NA,NA,552,552,18.135523613963038,no
babylabINCC_BLI_252-toddlers,babylabINCC,BLI_252-toddlers,toddlers,girl,NA,NA,750,750,24.64065708418891,no
babylabINCC_BLI_255-toddlers,babylabINCC,BLI_255-toddlers,toddlers,girl,NA,NA,728,728,23.917864476386036,no
babylabINCC_BLI_256-toddlers,babylabINCC,BLI_256-toddlers,toddlers,girl,NA,NA,666,666,21.880903490759753,no
babylabINCC_BLI_159-toddlers,babylabINCC,BLI_159-toddlers,toddlers,girl,NA,NA,719,719,23.62217659137577,no
babylabINCC_BLI_261-toddlers,babylabINCC,BLI_261-toddlers,toddlers,girl,NA,NA,749,749,24.607802874743324,no
babylabINCC_BLI_262-toddlers,babylabINCC,BLI_262-toddlers,toddlers,girl,NA,NA,666,666,21.880903490759753,no
babylabINCC_BLI_263-toddlers,babylabINCC,BLI_263-toddlers,toddlers,girl,NA,NA,739,739,24.279260780287476,no
babylabINCC_BLI_264-toddlers,babylabINCC,BLI_264-toddlers,toddlers,girl,NA,NA,758,758,24.903490759753595,no
babylabMPIB_mb2_01-adults,babylabMPIB,mb2_01-adults,adults,man,29,29,NA,NA,NA,no
babylabMPIB_mb2_02-adults,babylabMPIB,mb2_02-adults,adults,woman,26,26,NA,NA,NA,no
babylabMPIB_mb2_03-adults,babylabMPIB,mb2_03-adults,adults,woman,25,25,NA,NA,NA,no
babylabMPIB_mb2_04-adults,babylabMPIB,mb2_04-adults,adults,woman,27,27,NA,NA,NA,no
babylabMPIB_mb2_05-adults,babylabMPIB,mb2_05-adults,adults,man,29,29,NA,NA,NA,no
babylabMPIB_mb2_06-adults,babylabMPIB,mb2_06-adults,adults,man,32,32,NA,NA,NA,no
babylabMPIB_mb2_07-adults,babylabMPIB,mb2_07-adults,adults,woman,25,25,NA,NA,NA,no
babylabMPIB_mb2_08-adults,babylabMPIB,mb2_08-adults,adults,man,29,29,NA,NA,NA,no
babylabMPIB_mb2_09-adults,babylabMPIB,mb2_09-adults,adults,woman,23,23,NA,NA,NA,no
babylabMPIB_mb2_10-adults,babylabMPIB,mb2_10-adults,adults,woman,32,32,NA,NA,NA,no
babylabMPIB_mb2_11-adults,babylabMPIB,mb2_11-adults,adults,woman,26,26,NA,NA,NA,no
babylabMPIB_mb2_12-adults,babylabMPIB,mb2_12-adults,adults,woman,26,26,NA,NA,NA,no
babylabMPIB_mb2_13-adults,babylabMPIB,mb2_13-adults,adults,woman,26,26,NA,NA,NA,no
babylabMPIB_mb2_15-adults,babylabMPIB,mb2_15-adults,adults,woman,35,35,NA,NA,NA,no
babylabMPIB_mb2_16-adults,babylabMPIB,mb2_16-adults,adults,woman,25,25,NA,NA,NA,no
babylabMPIB_mb2_17-adults,babylabMPIB,mb2_17-adults,adults,man,24,24,NA,NA,NA,no
babylabNijmegen_RU_007-adults,babylabNijmegen,RU_007-adults,adults,woman,22,22,NA,NA,NA,no
babylabNijmegen_RU_008-adults,babylabNijmegen,RU_008-adults,adults,woman,22,22,NA,NA,NA,no
babylabNijmegen_RU_009-adults,babylabNijmegen,RU_009-adults,adults,woman,20,20,NA,NA,NA,no
babylabNijmegen_RU_010-adults,babylabNijmegen,RU_010-adults,adults,woman,19,19,NA,NA,NA,no
babylabNijmegen_RU_011-adults,babylabNijmegen,RU_011-adults,adults,woman,24,24,NA,NA,NA,no
babylabNijmegen_RU_012-adults,babylabNijmegen,RU_012-adults,adults,woman,20,20,NA,NA,NA,no
babylabNijmegen_RU_013-adults,babylabNijmegen,RU_013-adults,adults,woman,21,21,NA,NA,NA,no
babylabNijmegen_RU_014-adults,babylabNijmegen,RU_014-adults,adults,man,24,24,NA,NA,NA,no
babylabNijmegen_RU_015-adults,babylabNijmegen,RU_015-adults,adults,woman,27,27,NA,NA,NA,no
babylabNijmegen_RU_016-adults,babylabNijmegen,RU_016-adults,adults,woman,19,19,NA,NA,NA,no
babylabNijmegen_RU_017-adults,babylabNijmegen,RU_017-adults,adults,woman,20,20,NA,NA,NA,no
babylabNijmegen_RU_018-adults,babylabNijmegen,RU_018-adults,adults,man,23,23,NA,NA,NA,no
babylabNijmegen_RU_019-adults,babylabNijmegen,RU_019-adults,adults,woman,20,20,NA,NA,NA,no
babylabNijmegen_RU_020-adults,babylabNijmegen,RU_020-adults,adults,woman,27,27,NA,NA,NA,no
babylabNijmegen_RU_021-adults,babylabNijmegen,RU_021-adults,adults,woman,53,53,NA,NA,NA,no
babylabNijmegen_RU_022-adults,babylabNijmegen,RU_022-adults,adults,woman,24,24,NA,NA,NA,no
babylabNijmegen_RU_005-toddlers,babylabNijmegen,RU_005-toddlers,toddlers,girl,NA,NA,732,732,24.049281314168375,no
babylabNijmegen_RU_006-toddlers,babylabNijmegen,RU_006-toddlers,toddlers,boy,NA,NA,722,722,23.720739219712527,no
babylabNijmegen_RU_007-toddlers,babylabNijmegen,RU_007-toddlers,toddlers,girl,NA,NA,655,655,21.519507186858316,no
babylabNijmegen_RU_008-toddlers,babylabNijmegen,RU_008-toddlers,toddlers,girl,NA,NA,740,740,24.31211498973306,no
babylabNijmegen_RU_009-toddlers,babylabNijmegen,RU_009-toddlers,toddlers,girl,NA,NA,630,630,20.698151950718685,no
babylabNijmegen_RU_010-toddlers,babylabNijmegen,RU_010-toddlers,toddlers,girl,NA,NA,667,667,21.913757700205338,no
babylabNijmegen_RU_011-toddlers,babylabNijmegen,RU_011-toddlers,toddlers,girl,NA,NA,662,662,21.749486652977414,no
babylabNijmegen_RU_012-toddlers,babylabNijmegen,RU_012-toddlers,toddlers,girl,NA,NA,756,756,24.837782340862425,no
babylabNijmegen_RU_013-toddlers,babylabNijmegen,RU_013-toddlers,toddlers,girl,NA,NA,689,689,22.636550308008214,no
babylabNijmegen_RU_014-toddlers,babylabNijmegen,RU_014-toddlers,toddlers,boy,NA,NA,732,732,24.049281314168375,no
babylabNijmegen_RU_015-toddlers,babylabNijmegen,RU_015-toddlers,toddlers,boy,NA,NA,724,724,23.786447638603697,no
babylabNijmegen_RU_016-toddlers,babylabNijmegen,RU_016-toddlers,toddlers,boy,NA,NA,667,667,21.913757700205338,no
